,Page,Year,Month,Title,Date,URL
59,6,2007,5,World Briefing | Europe: Germany: No Pardons For 2 In Terrorism Gang,2007-05-08,https://query.nytimes.com/gst/fullpage.html?res=9406EED71631F93BA35756C0A9619C8B63
60,7,2007,5,Witness Describes Training Padilla Reportedly Received,2007-05-19,https://www.nytimes.com/2007/05/19/us/19padilla.html
61,7,2007,6,Italy: Terrorism Suspects Held in Italy and Britain,2007-06-08,https://www.nytimes.com/2007/06/08/world/europe/08briefs-suspects.html
62,7,2007,7,"Terrorism and the Law: In Washington, a Need to Right Wrongs",2007-07-15,https://www.nytimes.com/2007/07/15/opinion/15sun1.html
63,7,2007,3,Australian to Serve 9 Months in Terrorism Case,2007-03-31,https://www.nytimes.com/2007/03/31/washington/31gitmo.html
64,7,2007,4,Giuliani Broadens His Message on Terrorism,2007-04-26,https://www.nytimes.com/2007/04/26/us/politics/26giuliani.html
65,7,2007,5,One Day in Baghdad,2007-05-27,https://www.nytimes.com/2007/05/27/magazine/27lives-t.html
66,7,2007,8,Islamic Finance and Its Critics,2007-08-09,https://www.nytimes.com/2007/08/09/business/09trust.html
67,7,2007,8,Padilla Case Offers New Model of Terrorism Trial,2007-08-18,https://www.nytimes.com/2007/08/18/us/nationalspecial3/18legal.html
68,7,2007,2,India and Pakistan Say They Will Fight Terrorism Together in Spite of Deadly Train Bombing,2007-02-21,https://www.nytimes.com/2007/02/21/world/asia/21cnd-india.html
69,7,2007,11,Where Boys Grow Up to Be Jihadis,2007-11-25,https://www.nytimes.com/2007/11/25/magazine/25tetouan-t.html
70,8,2007,11,Gang Member Is Convicted Under Terror Law,2007-11-01,https://www.nytimes.com/2007/11/01/nyregion/01terror.html
71,8,2007,7,"The British Are Watching, Very Closely",2007-07-01,https://www.nytimes.com/2007/07/01/weekinreview/01basicB.html
72,8,2007,3,National Briefing | Terrorism: Detainee Says He Was Told Of Sept. 11 Attacks,2007-03-30,https://query.nytimes.com/gst/fullpage.html?res=9C02E2DE1130F933A05750C0A9619C8B63
73,8,2007,11,U.S. Is Likely to Continue Aid to Pakistan,2007-11-05,https://www.nytimes.com/2007/11/05/world/asia/06diplo.html
74,8,2007,8,Prosecutors Turn to Padilla for Closing Arguments,2007-08-14,https://www.nytimes.com/2007/08/14/us/14padilla.html
75,8,2007,10,U.S. Prosecution of Muslim Group Ends in Mistrial,2007-10-23,https://www.nytimes.com/2007/10/23/us/23charity.html
76,8,2007,5,U.S. Debates Deterrence for Nuclear Terrorism,2007-05-08,https://www.nytimes.com/2007/05/08/washington/08nuke.html
77,8,2007,7,Senate Passes Bill Based on 9/11 Panel Proposals,2007-07-27,https://www.nytimes.com/2007/07/27/washington/27cong.html
78,8,2007,12,Jurors Deadlock on 6 of 7 in Sears Plot ,2007-12-13,https://www.nytimes.com/2007/12/13/us/13cnd-liberty.html
79,8,2007,4,"North Africa: Under Attack, and Relying on Repression",2007-04-15,https://www.nytimes.com/2007/04/15/weekinreview/15smith.html
80,9,2007,7,Congress Nears Passage of Anti-Terrorism Bill,2007-07-25,https://www.nytimes.com/2007/07/25/washington/25cnd-home.html
81,9,2007,12,Where's the Gruel?,2007-12-22,https://query.nytimes.com/gst/fullpage.html?res=9803E4DB173EF931A15751C1A9619C8B63
82,9,2007,6,The Guidebook for Taking a Life,2007-06-10,https://www.nytimes.com/2007/06/10/weekinreview/10moss.html
83,9,2007,8,QUOTATION OF THE DAY,2007-08-17,https://query.nytimes.com/gst/fullpage.html?res=950CEEDF1031F934A2575BC0A9619C8B63
84,9,2007,7,Showcase and Chimera in the Desert,2007-07-08,https://www.nytimes.com/2007/07/08/weekinreview/08burns.html
85,9,2007,7,Where Little Is Left Outside the Camera’s Eye,2007-07-08,https://www.nytimes.com/2007/07/08/weekinreview/08landler.html
86,9,2007,7,Al Qaeda Threatens; U.S. Frets,2007-07-22,https://www.nytimes.com/2007/07/22/weekinreview/22mazzetti.html
87,9,2007,5,"A Handful of Soldiers, on Patrol",2007-05-27,https://www.nytimes.com/2007/05/27/weekinreview/27cave.html
88,9,2007,9,Conscience of a Conservative,2007-09-09,https://www.nytimes.com/2007/09/09/magazine/09rosen.html
89,9,2007,9,The Former-Insurgent Counterinsurgency,2007-09-02,https://www.nytimes.com/2007/09/02/magazine/02iraq-t.html
90,10,2007,5,"In the Heat of Battle and Politics, Hard Facts Melt",2007-05-20,https://www.nytimes.com/2007/05/20/weekinreview/20glanz.html
91,10,2007,8,Elegies From an Iraqi Notebook,2007-08-19,https://www.nytimes.com/2007/08/19/weekinreview/19rubin.html
92,10,2007,1,White House Shifting Tactics in Spy Cases,2007-01-19,https://www.nytimes.com/2007/01/19/washington/19legal.html
93,10,2007,6,"New York: Yours, Mine and Theirs",2007-06-10,https://www.nytimes.com/2007/06/10/weekinreview/10powell.html
94,10,2007,2,5 Held in Plot to Kill British Soldier,2007-02-10,https://www.nytimes.com/2007/02/10/world/europe/10britain.html
95,10,2007,2,Canadian Parliament Decides to Let 2 Measures Passed After 9/11 Expire,2007-02-28,https://www.nytimes.com/2007/02/28/world/americas/28canada.html
96,10,2007,8,If We Treat Terrorists Like Criminals (4 Letters),2007-08-13,https://www.nytimes.com/2007/08/13/opinion/l13terrorist.html
97,10,2007,5,Openness Sought in British Terror Trials,2007-05-25,https://www.nytimes.com/2007/05/25/world/europe/25britain.html
98,10,2007,10,Trial of 30 Accused Islamic Terrorists Begins in Madrid,2007-10-16,https://www.nytimes.com/2007/10/16/world/europe/16spain.html
99,10,2007,2,Germany Relives 1970s Terror as 2 Seek Release From Jail,2007-02-07,https://www.nytimes.com/2007/02/07/world/europe/07reds.html
100,1,2008,4,Lawyers Fear Monitoring in Cases on Terrorism,2008-04-28,https://www.nytimes.com/2008/04/28/us/28lawyers.html
101,1,2008,11,Five Convicted in Terrorism Financing Trial,2008-11-25,https://www.nytimes.com/2008/11/25/us/25charity.html
102,1,2008,6,A Slap on Terrorism,2008-06-19,https://query.nytimes.com/gst/fullpage.html?res=9B06E1DF1231F93AA25755C0A96E9C8B63
103,1,2008,7,"Cities, Police and Terrorism",2008-07-29,https://www.nytimes.com/2008/07/29/opinion/l29police.html
104,1,2008,9,Terrorism’s Impact Grows as Indian Election Nears,2008-09-24,https://www.nytimes.com/2008/09/24/world/asia/24india.html
105,1,2008,1,The Endless Fear of Terrorism,2008-01-16,https://tierneylab.blogs.nytimes.com/2008/01/16/the-endless-fear-of-terrorism/
106,1,2008,2,Battling Terrorism,2008-02-23,https://www.nytimes.com/2008/02/23/opinion/lweb25iraq.html
107,1,2008,6,A Not Very Private Feud Over Terrorism,2008-06-08,https://www.nytimes.com/2008/06/08/weekinreview/08sciolino.html
108,1,2008,9,Terrorism Suspect Is Returned to Philippines,2008-09-01,https://www.nytimes.com/2008/09/01/world/asia/01phils.html
109,1,2008,5,States Chafing at U.S. Focus on Terrorism,2008-05-26,https://www.nytimes.com/2008/05/26/us/26terror.html
110,2,2008,10,The Best Book on Terrorism?,2008-10-09,https://artsbeat.blogs.nytimes.com/2008/10/09/the-best-book-on-terrorism/
111,2,2008,6,Campaigns in a Skirmish Over Terrorism and Law,2008-06-18,https://www.nytimes.com/2008/06/18/us/politics/18mccain.html
112,2,2008,2,"Impressions of Terrorism, Drawn From Court Files",2008-02-19,https://www.nytimes.com/2008/02/19/us/19bar.html
113,2,2008,9,German Police Arrest 2 Terrorism Suspects on Jet,2008-09-27,https://www.nytimes.com/2008/09/27/world/europe/27germany.html
114,2,2008,9,The War on Financial Terrorism?,2008-09-23,https://economix.blogs.nytimes.com/2008/09/23/the-war-on-financial-terrorism/
115,2,2008,1,Giuliani Keeps Campaign Focus on Terrorism,2008-01-03,https://www.nytimes.com/2008/01/03/us/politics/03giuliani.html
116,2,2008,1,Rival to Georgia’s President Is Charged With Terrorism,2008-01-11,https://www.nytimes.com/2008/01/11/world/europe/11georgia.html
117,2,2008,10,Why No Nuclear Terrorism 'Czar'?,2008-10-16,https://topics.blogs.nytimes.com/2008/10/16/why-no-nuclear-terrorism-czar/
118,2,2008,10,Indonesia Arrests 5 Terrorism Suspects,2008-10-23,https://www.nytimes.com/2008/10/23/world/asia/23indo.html
119,2,2008,10,Nuclear Terrorism - the Economic Cost,2008-10-14,https://topics.blogs.nytimes.com/2008/10/14/nuclear-terrorism-the-economic-cost/
120,3,2008,10,Canada: Former Government Worker Convicted on 5 Terrorism Charges,2008-10-30,https://www.nytimes.com/2008/10/30/world/americas/30briefs-FORMERGOVERN_BRF.html
121,3,2008,1,"Pakistan, Terrorism and Drugs",2008-01-19,https://www.nytimes.com/2008/01/19/opinion/lweb22pakistan.html
122,3,2008,11,Nuclear Terrorism and Proliferation is Job One,2008-11-12,https://topics.blogs.nytimes.com/2008/11/12/nuclear-terrorism-and-proliferation-is-job-one/
123,3,2008,9,Pakistan’s President Calls for End to Terrorism and Criticizes Intervention by U.S.,2008-09-21,https://www.nytimes.com/2008/09/21/world/asia/21pstan.html
124,3,2008,8,That Troubled Terrorism List,2008-08-24,https://www.nytimes.com/2008/08/24/opinion/24sun3.html
125,3,2008,9,"On 9/11, Reflections on Terrorism",2008-09-11,https://www.nytimes.com/2008/09/11/opinion/l11terror.html
126,3,2008,6,Obama Rejects G.O.P. Criticism on Terrorism,2008-06-17,https://thecaucus.blogs.nytimes.com/2008/06/17/obama-rejects-gop-criticism-on-terrorism/
127,3,2008,7,9 Terrorism Suspects Detained in Indonesia After a Raid Uncovers Bombs,2008-07-04,https://www.nytimes.com/2008/07/04/world/asia/04indonesia.html
128,3,2008,5,"In a Changing World, an Ever-Evolving Terrorism",2008-05-09,https://www.nytimes.com/2008/05/09/books/09book.html
129,3,2008,11,Acid Attacks,2008-11-29,https://www.nytimes.com/video/opinion/1194834033797/acid-attacks.html
130,4,2008,4,Professor in Deadlocked Terrorism Case Could Face a New Indictment,2008-04-18,https://www.nytimes.com/2008/04/18/washington/18professor.html
131,4,2008,10,Indonesia: Five Terrorism Suspects Arrested in Raids,2008-10-23,https://www.nytimes.com/2008/10/23/world/asia/23briefs-FIVETERRORIS_BRF.html
132,4,2008,4,Judge Rules on Terrorism Watch Lists,2008-04-24,https://www.nytimes.com/2008/04/24/us/24brfs-RULINGONWATC_BRF.html
133,4,2008,10,Justice Dept. Completes Revision of F.B.I. Guidelines for Terrorism Investigations,2008-10-04,https://www.nytimes.com/2008/10/04/washington/04fbi.html
134,4,2008,2,Terrorism Cited In Norway-Sweden Arrests,2008-02-29,https://query.nytimes.com/gst/fullpage.html?res=940DEEDC1431F93AA15751C0A96E9C8B63
135,4,2008,6,The Early Word: Terrorism and the Campaign,2008-06-24,https://thecaucus.blogs.nytimes.com/2008/06/24/the-early-word-terrorism-and-the-campaign/
136,4,2008,12,Mumbai: Revolution or Evolution in Terrorism Tactics?,2008-12-08,https://topics.blogs.nytimes.com/2008/12/08/mumbai-revolution-or-evolution-in-terrorism-tactics/
137,4,2008,2,C.I.A. Used a British Island to Transport Terrorism Suspects,2008-02-22,https://query.nytimes.com/gst/fullpage.html?res=9A05E4D61F3FF931A15751C0A96E9C8B63
138,4,2008,12,"Letters: News/Analysis Blur, Privilege and Terrorism",2008-12-20,https://publiceditor.blogs.nytimes.com/2008/12/20/letters-newsanalysis-blur-privilege-and-terrorism/
139,4,2008,1,Car Bomb Kills a Top Lebanese Terrorism Investigator,2008-01-26,https://www.nytimes.com/2008/01/26/world/middleeast/26lebanon.html
140,5,2008,12,"Letters: News/Analysis Blur, Privilege and Terrorism",2008-12-20,https://publiceditor.blogs.nytimes.com/2008/12/20/letters-newsanalysis-blur-privilege-and-terrorism/
141,5,2008,2,C.I.A. Used a British Island to Transport Terrorism Suspects,2008-02-22,https://www.nytimes.com/2008/02/22/world/europe/22britainweb.html
142,5,2008,9,Terror Attack Victims Speak at Forum,2008-09-10,https://www.nytimes.com/2008/09/10/world/10nations.html
143,5,2008,12,"A Wealthy Saudi, Mired in Limbo Over an Accusation of Terrorism",2008-12-13,https://www.nytimes.com/2008/12/13/world/middleeast/13kadi.html
144,5,2008,9,Denmark: T-Shirt Sellers Convicted in Terrorism Case,2008-09-19,https://www.nytimes.com/2008/09/19/world/europe/19briefs-TSHIRTSELLER_BRF.html
145,5,2008,12,India Presses Pakistan on Terrorism but Finds Its Own Options Limited,2008-12-12,https://www.nytimes.com/2008/12/12/world/asia/12india.html
146,5,2008,3,Mukasey Goes to Court to Argue a Terrorism Case,2008-03-26,https://www.nytimes.com/2008/03/26/us/26mukasey.html
147,5,2008,11,"Between Israel and India, a Link Based on Culture and, Now, Terrorism",2008-11-29,https://www.nytimes.com/2008/11/29/us/29religion.html
148,5,2008,9,Police Dept. Gets Money for Terrorism Detection,2008-09-16,https://cityroom.blogs.nytimes.com/2008/09/16/police-dept-gets-money-for-terrorism-detection/
149,5,2008,5,Iran Says April 12 Blast at Shiraz Mosque Was Terrorism,2008-05-09,https://www.nytimes.com/2008/05/09/world/middleeast/09iran.html
150,6,2008,2,Fighting Terrorism With Child's Play,2008-02-17,https://query.nytimes.com/gst/fullpage.html?res=9C00EFD6163AF934A25751C0A96E9C8B63
151,6,2008,11,"Algeria's Liberation, Terrorism, and Arabization",2008-11-19,https://topics.blogs.nytimes.com/2008/11/19/algerias-liberation-terrorism-and-arabization/
152,6,2008,5,Iran Says April 12 Blast at Shiraz Mosque Was Terrorism,2008-05-09,https://www.nytimes.com/2008/05/09/world/middleeast/09iran.html
153,6,2008,3,Convicted Imam Seeks Evidence of Wiretapping,2008-03-25,https://www.nytimes.com/2008/03/25/nyregion/25wiretap.html
154,6,2008,6,Terror Bill Passes Narrowly in Britain,2008-06-12,https://www.nytimes.com/2008/06/12/world/europe/12britain.html
155,6,2008,8,Allies Obama Overlooked,2008-08-01,https://www.nytimes.com/2008/08/01/opinion/01egland.html
156,6,2008,8,"With Fewer Terror Trials, Manhattan Court Quiets Down",2008-08-09,https://www.nytimes.com/2008/08/09/nyregion/09siddiqui.html
157,6,2008,12,India Wants Pakistani Group Added to U.N.’s Terrorism List,2008-12-10,https://www.nytimes.com/2008/12/10/world/10nations.html
158,6,2008,11,Federal Support in Responding to Nuclear Terrorism,2008-11-24,https://topics.blogs.nytimes.com/2008/11/24/federal-support-in-responding-to-nuclear-terrorism/
159,6,2008,1,"George Habash, 82; Tactician of Terrorism",2008-01-28,https://query.nytimes.com/gst/fullpage.html?res=9507E3D7163EF93BA15752C0A96E9C8B63
160,7,2008,12,Muslims in India Put Aside Grievances to Repudiate Terrorism,2008-12-08,https://www.nytimes.com/2008/12/08/world/asia/08muslims.html
161,7,2008,12,Panel Rules Jail Stabbing Constituted Terrorism,2008-12-03,https://www.nytimes.com/2008/12/03/nyregion/03sentence.html
162,7,2008,2,Fighting Terrorism | Feb. 10-16,2008-02-17,https://query.nytimes.com/gst/fullpage.html?res=9C04E1D8163AF934A25751C0A96E9C8B63
163,7,2008,6,Obama Camp Hits McCain Aide Over Terrorism Remark,2008-06-24,https://thecaucus.blogs.nytimes.com/2008/06/24/obama-camp-hits-mccain-aide-over-terrorism-remark/
164,7,2008,11,Indian Prime Minister Condemns Attacks,2008-11-27,https://www.nytimes.com/video/multimedia/1194834079885/indian-prime-minister-condemns-attacks.html
165,7,2008,11,Detainee Convicted on Terrorism Charges,2008-11-04,https://www.nytimes.com/2008/11/04/washington/04gitmo.html
166,7,2008,1,Next-Gen Taliban,2008-01-06,https://www.nytimes.com/2008/01/06/magazine/06PAKISTAN-t.html
167,7,2008,2,"Journalist Sentenced to Death in Iran, Accused of Terrorism",2008-02-21,https://www.nytimes.com/2008/02/21/world/asia/21iran.html
168,7,2008,11,Little Progress Made in Planning for Nuclear Terrorism,2008-11-26,https://topics.blogs.nytimes.com/2008/11/26/little-progress-made-in-planning-for-nuclear-terrorism/
169,7,2008,10,Appeals Court Overturns 2 Terrorism Convictions,2008-10-03,https://www.nytimes.com/2008/10/03/nyregion/03cleric.html
170,8,2008,1,"George Habash, Palestinian Terrorism Tactician, Dies at 82",2008-01-27,https://www.nytimes.com/2008/01/27/world/middleeast/27habash.html
171,8,2008,6,MSNBC's Campaign Edition,2008-06-24,https://www.nytimes.com/video/us/politics/1194817116320/msnbc-s-campaign-edition.html
172,8,2008,9,"Biden: McCain's Iraq, Terrorism Stance 'Dangerously Wrong'",2008-09-24,https://thecaucus.blogs.nytimes.com/2008/09/24/biden-mccains-iraq-terrorism-stance-dangerously-wrong/
173,8,2008,5,First-Class Privilege,2008-05-11,https://www.nytimes.com/2008/05/11/magazine/11wwln-lede-t.html
174,8,2008,4,The Hunter,2008-04-06,https://www.nytimes.com/2008/04/06/magazine/06wwln-Q4-t.html
175,8,2008,11,A Different Kind of Partner: A Paradigm for Democracy and Counter-Terrorism in Pakistan,2008-11-10,https://topics.blogs.nytimes.com/2008/11/10/a-different-kind-of-partner-a-paradigm-for-democracy-and-counter-terrorism-in-pakistan/
176,8,2008,12,From Munich to Mumbai,2008-12-20,https://www.nytimes.com/2008/12/20/opinion/20pedazhur.html
177,8,2008,9,Pakistan’s Faith in Its New Leader Is Shaken,2008-09-27,https://www.nytimes.com/2008/09/27/world/asia/27pstan.html
178,8,2008,3,Spanish Voters Go to Polls in Fierce Rematch,2008-03-09,https://www.nytimes.com/2008/03/09/world/europe/09spain.html
179,8,2008,4,Trial Begins in Shootings at Jewish Center in Seattle,2008-04-18,https://www.nytimes.com/2008/04/18/us/18haq.html
180,9,2008,8,Bizarre Death of the Man Who Talked Too Much,2008-08-12,https://www.nytimes.com/2008/08/12/books/12weisberg.html
181,9,2008,3,Where Was the Plan?,2008-03-16,https://www.nytimes.com/2008/03/16/opinion/16bremer.html
182,9,2008,8,Guantánamo Bay Judge Admits Possible Error,2008-08-06,https://www.nytimes.com/2008/08/06/washington/06gitmo.html
183,9,2008,5,"Murder, She Once Wrote",2008-05-25,https://www.nytimes.com/2008/05/25/nyregion/thecity/25crim.html
184,9,2008,11,Deprogramming Jihadists,2008-11-23,https://www.nytimes.com/2008/11/23/magazine/23letters-t-DEPROGRAMMIN_LETTERS.html
185,9,2008,3,Report Finds Flaws in Terrorist Watch List,2008-03-18,https://www.nytimes.com/2008/03/18/washington/18justice.html
186,9,2008,2,Sweden and Norway Hold 6 on Terror-Related Charges,2008-02-29,https://www.nytimes.com/2008/02/29/world/europe/29scandinavia.html
187,9,2008,12,"The Terrorists Want to Destroy Pakistan, Too",2008-12-09,https://www.nytimes.com/2008/12/09/opinion/09zardari.html
188,9,2008,8,Terror Trial Nears End as Defense Rests Case,2008-08-02,https://www.nytimes.com/2008/08/02/us/02gitmo.html
189,9,2008,6,Brown Faces New Protests Over Terror Bill,2008-06-13,https://www.nytimes.com/2008/06/13/world/europe/13britain.html
190,10,2008,9,Truck Bombing at Islamabad Hotel ,2008-09-20,https://www.nytimes.com/slideshow/2008/09/20/world/20080920-ISLAMABAD_index.html
191,10,2008,9,Bombing at Islamabad Hotel ,2008-09-20,https://www.nytimes.com/slideshow/2008/09/20/weekinreview/20080920-ISLAMABAD_index.html
192,10,2008,12,Pakistan’s Spies Aided Group Tied to Mumbai Siege,2008-12-08,https://www.nytimes.com/2008/12/08/world/asia/08terror.html
193,10,2008,12,Mr. Obama’s First Trip,2008-12-15,https://www.nytimes.com/2008/12/15/opinion/15fullilove.html
